+==========+====================+===============+=====+=======+====================+===============+
|  Verne   |        Word        |  Occurrences  |     |  Poe  |        Word        |  Occurrences  |
|          |ages                |23             |     |       |gained              |4              |
|          |sun                 |23             |     |       |unless              |4              |
|          |electric            |23             |     |       |beautiful           |4              |
|          |storm               |23             |     |       |master              |4              |
|          |temperature         |23             |     |       |since               |4              |
|          |known               |23             |     |       |copying             |4              |
|          |sound               |23             |     |       |owner               |4              |
|          |instead             |23             |     |       |explore             |4              |
|          |martha              |23             |     |       |muttered            |4              |
|          |scientific          |22             |     |       |changes             |4              |
|          |knew                |22             |     |       |sought              |4              |
|          |having              |22             |     |       |american            |4              |
|          |arms                |22             |     |       |site                |4              |
|          |wanted              |22             |     |       |holder              |4              |
|          |thus                |22             |     |       |sound               |4              |
|          |evening             |22             |     |       |thus                |4              |
|          |darkness            |22             |     |       |person              |4              |
|          |life                |22             |     |       |curtain             |4              |
|          |become              |22             |     |       |let                 |4              |
|          |distant             |22             |     |       |romantic            |4              |
|          |fast                |22             |     |       |zimmermann          |4              |
|          |obliged             |22             |     |       |used                |4              |
|          |appearance          |22             |     |       |status              |4              |
|          |around              |22             |     |       |format              |4              |
|          |liquid              |22             |     |       |pallas              |4              |
|          |degrees             |22             |     |       |lore                |4              |
|          |iron                |21             |     |       |wretch              |4              |
|          |body                |21             |     |       |man                 |4              |
|          |fear                |21             |     |       |radiant             |4              |
|          |want                |21             |     |       |lent                |4              |
|          |repeated            |21             |     |       |does                |4              |
|          |done                |21             |     |       |quaint              |4              |
|          |eye                 |21             |     |       |true                |4              |
|          |start               |21             |     |       |additional          |4              |
|          |already             |21             |     |       |individual          |4              |
|          |mass                |21             |     |       |phrase              |4              |
|          |forward             |21             |     |       |lining              |4              |
|          |given               |21             |     |       |nature              |4              |
|          |whilst              |21             |     |       |give                |4              |
|          |until               |21             |     |       |providing           |4              |
|          |enormous            |21             |     |       |land                |4              |
|          |noise               |21             |     |       |midnight            |4              |
|          |ocean               |21             |     |       |did                 |4              |
|          |impossible          |21             |     |       |juengling           |4              |
|          |best                |21             |     |       |contact             |4              |
|          |beginning           |21             |     |       |king                |4              |
|          |thing               |21             |     |       |kind                |4              |
|          |ground              |21             |     |       |version             |4              |
|          |hamburg             |21             |     |       |edgar               |4              |
|          |pressure            |21             |     |       |though              |4              |
|          |kind                |21             |     |       |power               |4              |
|          |stream              |20             |     |       |silken              |3              |
|          |better              |20             |     |       |right               |3              |
|          |descent             |20             |     |       |answer              |3              |
|          |rejkiavik           |20             |     |       |payments            |3              |
|          |extinct             |20             |     |       |quality             |3              |
|          |suddenly            |20             |     |       |tone                |3              |
|          |ready               |20             |     |       |purple              |3              |
|          |indeed              |20             |     |       |entity              |3              |
|          |things              |20             |     |       |spoken              |3              |
|          |suppose             |20             |     |       |pondered            |3              |
|          |thirty              |20             |     |       |composition         |3              |
|          |sky                 |20             |     |       |borrow              |3              |
|          |read                |20             |     |       |weary               |3              |
|          |ourselves           |20             |     |       |revised             |3              |
|          |others              |20             |     |       |linking             |3              |
|          |neither             |20             |     |       |active              |3              |
|          |means               |20             |     |       |distant             |3              |
|          |height              |20             |     |       |especially          |3              |
|          |rose                |20             |     |       |stately             |3              |
|          |certainly           |20             |     |       |errors              |3              |
|          |wide                |20             |     |       |recently            |3              |
|          |lips                |20             |     |       |sainted             |3              |
|          |times               |19             |     |       |flung               |3              |
|          |strength            |19             |     |       |nameless            |3              |
|          |white               |19             |     |       |appear              |3              |
|          |interior            |19             |     |       |year                |3              |
|          |dear                |19             |     |       |press               |3              |
|          |reach               |19             |     |       |originality         |3              |
